# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Mar 05 20:42:08 PST 2025 [seed=1741236084154]
state	country.rates.Argentina.Brazil	country.rates.Argentina.Colombia	country.rates.Argentina.Ecuador	country.rates.Argentina.Venezuela	country.rates.Brazil.Colombia	country.rates.Brazil.Ecuador	country.rates.Brazil.Venezuela	country.rates.Colombia.Ecuador	country.rates.Colombia.Venezuela	country.rates.Ecuador.Venezuela	country.indicators.Argentina.Brazil	country.indicators.Argentina.Colombia	country.indicators.Argentina.Ecuador	country.indicators.Argentina.Venezuela	country.indicators.Brazil.Colombia	country.indicators.Brazil.Ecuador	country.indicators.Brazil.Venezuela	country.indicators.Colombia.Ecuador	country.indicators.Colombia.Venezuela	country.indicators.Ecuador.Venezuela	country.nonZeroRates
30000	2.521560532512114	1.808711170672083	0.2382817025291187	0.888788234303015	0.4122882021421645	0.2332522437040322	0.5440097365446857	0.19696772019670664	2.4599260136314527	1.8961697393057473	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
31000	0.7126796560541624	0.7317676455958029	0.3875576843080561	1.6307846684049563	0.21233030755669868	0.4049921735375072	0.5772790738459049	1.0873578796025163	2.209756476959622	1.0660731141723625	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	6.0
32000	1.7626517053103672	1.1412634002423137	0.21709352664672937	0.6576019624891524	0.027305500108124797	0.1828829681830961	0.8363836049101742	0.2261450558366248	1.606513543905968	1.4319714223217863	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	6.0
33000	1.1441851893834087	1.4094869058097055	0.07213859970513048	1.4280171786639655	0.09924920673789026	0.2636732673528421	0.9299856911206221	0.06550619477802437	2.3663053760571144	0.9278048035683931	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
34000	1.7425990348019582	2.7138780059724223	0.046110533959316524	0.52266147553706	0.20700267000549552	0.1570388233579397	1.8496192734001806	0.14507962994163418	2.1281658414958327	1.6105441849344155	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0
35000	2.1771548075954077	2.9336215751364514	0.054934937002731346	0.45600277354437996	0.07579854625321708	0.20581655242336602	0.6857882960340489	0.24406501531230662	1.6580000105504737	0.6785770501643803	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
36000	1.4224106809542985	3.2080140589786343	0.07035101091349909	0.7075529901389098	0.19672969336191198	0.4875599505823343	0.3501944764988918	0.6478940490500706	2.918408646501403	1.174893919971708	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	8.0
37000	0.7535685253379127	1.0272132460762895	0.5532448969630603	0.34490080112376736	0.4545027461321203	0.671271740457957	0.7821248833526573	0.16290449157073683	2.624464967596161	1.4420438504958493	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	7.0
38000	2.010359855087444	0.25313670431701296	0.7758852682596639	1.0635651343724788	0.7238310910964874	0.37703750909095873	0.31056358655063193	0.2419174023029798	2.5075335514867967	0.34249484728825136	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	5.0
39000	0.6254861446901154	2.8779270904273	0.5244815040178212	0.42449129140824116	1.3111708165416933	0.24942043564659552	0.740852810614306	0.6353987161438842	1.7232608013698287	0.8459536689891999	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	6.0
40000	0.11145517599610197	0.6761368635775198	0.7916982926037505	0.6069707913369121	1.1412041153815609	0.5007517801203389	0.9469789307090271	1.0962003532743605	2.5481555890947436	0.1210882094627533	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
41000	0.8476078381144303	1.1365164632339868	4.032011696596488	1.0155566977016923	0.4633195996480649	0.4252293487563687	0.4713335568390596	2.0273018565153227	0.8835662542714909	0.6418425462307435	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	6.0
42000	0.8655235783967644	1.3471890875712251	0.6656823496016064	1.0812509350709785	1.7806266783763751	1.3939861778121494	0.29699332694623565	0.8767078577847778	0.9980467390031106	0.428254205878626	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
43000	0.2644996818300964	0.9565683096519536	0.5168375349956846	1.068282678001274	0.24240715713966016	0.1645013367625272	0.13061375735454728	0.5368613597612828	3.2967971354409205	0.9350293544657908	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	7.0
44000	0.675981606454664	0.5027324032535182	0.3351138362682214	0.7811384110567968	0.2970680408621148	0.1211587460458026	0.38473697854980404	0.9420600307853477	1.9021578150703633	0.8455706218089617	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
45000	1.217748077497442	1.0574846571521408	1.118358453399166	0.25087074366358564	1.6713815623706159	0.417695825776789	0.49391568232267463	1.1332867166428089	1.4772156452334009	2.8017695794964816	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	5.0
46000	1.0089286689123858	0.38607574775221354	1.389898752107105	0.4681989339953608	3.2804745237588935	0.8809131750733961	0.3322859629160224	0.8083915399774461	1.6409393870377547	2.3777229165248577	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	6.0
